Top_Pins,,,,,,,,,,,,,,,,,,,,,,,,,
wow,amazing,A3,A4,A5,GND,A6,A7,A8,B1,B2,B3,B4,B5,GND,B6,B7,B8,C1,C2,,,,,,
C3,C4,C5,C6,C7,5V,D1,D2,GPIO 29,GPIO 30,GPIO 31,GPIO 32,GPIO 33,GPIO 34,3.3V,GPIO 36,GPIO 37,GPIO 38,GPIO 39,GPIO 40,,,,,,
Bottom_Pins,,,,,,,,,,,,,,,,,,,,,,,,,
GPIO 41,GPIO 42,GPIO 43,GPIO 44,GPIO 45,3.3V,GPIO 47,GPIO 48,GPIO 49,GPIO 50,GPIO 51,GPIO 52,GPIO 53,GPIO 54,5V,GPIO 56,GPIO 57,GPIO 58,GPIO 59,GPIO 60,,,,,,
GPIO 61,GPIO 62,GPIO 63,GPIO 64,GPIO 65,GND,GPIO 67,GPIO 68,GPIO 69,GPIO 70,GPIO 71,GPIO 72,GPIO 73,GPIO 74,GND,GPIO 76,GPIO 77,GPIO 78,A2,A1,,,,,,
General Purpose,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,D1,D2
0.5 - 2GHz,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
2 - 3.5GHz,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1
2.5 - 3.5GHz,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
3 - 4.5GHz,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
4 - 5GHz,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
5 - 6GHz,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
5.5 - 8.5GHz,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1
8 - 11GHz,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
10.5 - 13.5GHz,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
13 - 16GHz,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1
15.5 - 18GHz,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
/,,,,,,,,,,,,,,,,,,,,,,,,,
RF Attenuation,A1,A2,A3,A4,A5,,,,,,,,,,,,,,,,,,,,
0dB,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1dB,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2dB,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
3dB,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
4dB,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
5dB,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,
6dB,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,
7dB,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
8dB,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
9dB,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,
10dB,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,
11dB,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,
12dB,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
13dB,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,
14dB,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,
15dB,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,
16dB,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
17dB,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
18dB,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,
19dB,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
20dB,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
21dB,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
22dB,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,
23dB,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
24dB,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
25dB,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
26dB,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,
27dB,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
28dB,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,
29dB,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
30dB,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
31dB,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,
IF Attenuation,C7,C6,C5,C4,C3,,,,,,,,,,,,,,,,,,,,
0dB,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1dB,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
2dB,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
3dB,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,
4dB,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
5dB,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,
6dB,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
7dB,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
8dB,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
9dB,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,
10dB,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
11dB,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
12dB,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
13dB,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,
14dB,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
15dB,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
16dB,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,
17dB,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,
18dB,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,
19dB,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
20dB,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,
21dB,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,
22dB,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,
23dB,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
24dB,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
25dB,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,
26dB,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,
27dB,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
28dB,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,
29dB,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
30dB,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
31dB,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,
SFB 1 Selection,A6,A7,A8,B1,,,,,,,,,,,,,,,,,,,,,
2 - 3.5 GHz,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
3 - 4.5 GHz,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
4 - 6 GHz,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
5.5 - 18 GHz,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,
SFB 2 Selection,B2,B3,B4,B5,C1,C2,,,,,,,,,,,,,,,,,,,
5.5 - 8.5 GHz,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,
8 - 11 GHz,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,
10.5 - 13.5 GHz,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
13 - 16 GHz,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,
15.5 - 18 GHz,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,
RF path,B6,,,,,,,,,,,,,,,,,,,,,,,,
RF,1,,,,,,,,,,,,,,,,,,,,,,,,
BITE,0,,,,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,
Input Selection 1,B7,,,,,,,,,,,,,,,,,,,,,,,,
0.5-2GHz / 6-17Ghz,1,,,,,,,,,,,,,,,,,,,,,,,,
2-18GHz,0,,,,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,
Input Selection 2,B8,,,,,,,,,,,,,,,,,,,,,,,,
0.5-6GHz,0,,,,,,,,,,,,,,,,,,,,,,,,
5.5-18GHz,1,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,
